Time Step,Vehicle Speed,Total Distance,Total BSFC,BSFC
0,0.1,0.0,1.04,0.01
0.05,0.2,0.01,2.08,0.01
0.1,0.29,0.03,3.13,0.01
0.15,0.39,0.05,4.17,0.01
0.2,0.49,0.07,5.21,0.01
0.25,0.59,0.1,6.25,0.01
0.3,0.68,0.14,7.29,0.01
0.35,0.78,0.18,8.33,0.01
0.4,0.88,0.22,9.38,0.01
0.45,0.98,0.27,10.42,0.01
0.5,1.08,0.32,11.46,0.01
0.55,1.17,0.38,12.5,0.01
0.6,1.27,0.44,13.54,0.01
0.65,1.37,0.51,14.59,0.01
0.7,1.47,0.59,15.63,0.01
0.75,1.56,0.66,16.67,0.01
0.8,1.66,0.75,17.71,0.01
0.85,1.76,0.84,18.75,0.01
0.9,1.86,0.93,19.79,0.01
0.95,1.96,1.03,20.84,0.01
1.0,2.05,1.13,21.88,0.01
1.05,2.15,1.24,22.92,0.01
1.1,2.25,1.35,23.96,0.01
1.15,2.35,1.47,25.0,0.01
1.2,2.44,1.59,26.05,0.01
1.25,2.54,1.72,27.09,0.01
1.3,2.64,1.85,28.13,0.01
1.35,2.74,1.98,29.17,0.01
1.4,2.83,2.13,30.21,0.01
1.45,2.93,2.27,31.25,0.01
1.5,3.03,2.42,32.3,0.01
1.55,3.13,2.58,33.34,0.01
1.6,3.22,2.74,34.38,0.01
1.65,3.32,2.91,35.42,0.01
1.7,3.42,3.08,36.46,0.01
1.75,3.51,3.25,37.51,0.01
1.8,3.61,3.43,38.55,0.01
1.85,3.71,3.62,39.59,0.01
1.9,3.81,3.81,40.63,0.01
1.95,3.9,4.01,41.67,0.01
2.0,4.0,4.21,42.71,0.01
2.05,4.1,4.41,43.76,0.01
2.1,4.2,4.62,44.8,0.01
2.15,4.29,4.83,45.84,0.01
2.2,4.39,5.05,46.88,0.01
2.25,4.49,5.28,47.92,0.01
2.3,4.58,5.51,48.97,0.01
2.35,4.68,5.74,50.01,0.01
2.4,4.78,5.98,51.05,0.01
2.45,4.87,6.22,52.09,0.01
2.5,4.97,6.47,53.13,0.01
2.55,5.07,6.73,54.17,0.01
2.6,5.16,6.98,55.22,0.01
2.65,5.26,7.25,56.26,0.01
2.7,5.36,7.52,57.3,0.01
2.75,5.45,7.79,58.34,0.01
2.8,5.55,8.07,59.38,0.01
2.85,5.65,8.35,60.43,0.01
2.9,5.74,8.64,61.47,0.01
2.95,5.84,8.93,62.51,0.01
3.0,5.94,9.22,63.55,0.01
3.05,6.03,9.53,64.59,0.01
3.1,6.13,9.83,65.63,0.01
3.15,6.23,10.14,66.56,0.01
3.2,6.33,10.46,67.48,0.01
3.25,6.43,10.78,68.4,0.01
3.3,6.52,11.11,69.38,0.01
3.35,6.62,11.44,70.35,0.01
3.4,6.72,11.77,71.33,0.01
3.45,6.82,12.12,72.25,0.01
3.5,6.92,12.46,73.18,0.01
3.55,7.02,12.81,74.11,0.01
3.6,7.13,13.17,74.98,0.01
3.65,7.23,13.53,75.85,0.01
3.7,7.33,13.9,76.72,0.01
3.75,7.43,14.27,77.55,0.01
3.8,7.53,14.65,78.37,0.01
3.85,7.63,15.03,79.01,0.01
3.9,7.73,15.41,79.66,0.01
3.95,7.83,15.81,80.3,0.01
4.0,7.94,16.2,81.19,0.01
4.05,8.04,16.6,82.08,0.01
4.1,8.14,17.01,82.96,0.01
4.15,8.24,17.42,83.99,0.01
4.2,8.34,17.84,85.01,0.01
4.25,8.44,18.26,86.04,0.01
4.3,8.54,18.69,87.1,0.01
4.35,8.64,19.12,88.17,0.01
4.4,8.74,19.56,89.23,0.01
4.45,8.84,20.0,90.33,0.01
4.5,8.94,20.45,91.42,0.01
4.55,9.04,20.9,92.52,0.01
4.6,9.14,21.36,93.78,0.01
4.65,9.24,21.82,95.04,0.01
4.7,9.34,22.29,96.3,0.01
4.75,9.43,22.76,97.6,0.01
4.8,9.53,23.23,98.89,0.01
4.85,9.63,23.71,100.19,0.01
4.9,9.72,24.2,101.65,0.01
