Time Step,Kart Accel,Vehicle Speed,Total Distance,Clutch Slip,BSFC,RPM,Torque
0,1.96,0.1,0.0,1.0,0.01,2000,6.9
0.05,1.96,0.2,0.01,0.98,0.02,2000,6.9
0.1,1.96,0.29,0.03,0.97,0.03,2000,6.9
0.15,1.96,0.39,0.05,0.95,0.04,2000,6.9
0.2,1.96,0.49,0.07,0.93,0.05,2000,6.9
0.25,1.96,0.59,0.1,0.92,0.06,2000,6.9
0.3,1.96,0.68,0.14,0.9,0.07,2000,6.9
0.35,1.96,0.78,0.18,0.88,0.08,2000,6.9
0.4,1.96,0.88,0.22,0.86,0.09,2000,6.9
0.45,1.96,0.98,0.27,0.85,0.1,2000,6.9
0.5,1.96,1.08,0.32,0.83,0.11,2000,6.9
0.55,1.96,1.17,0.38,0.81,0.13,2000,6.9
0.6,1.95,1.27,0.44,0.8,0.14,2000,6.9
0.65,1.95,1.37,0.51,0.78,0.15,2000,6.9
0.7,1.95,1.47,0.59,0.76,0.16,2000,6.9
0.75,1.95,1.56,0.66,0.75,0.17,2000,6.9
0.8,1.95,1.66,0.75,0.73,0.18,2000,6.9
0.85,1.95,1.76,0.84,0.71,0.19,2000,6.9
0.9,1.95,1.86,0.93,0.7,0.2,2000,6.9
0.95,1.95,1.96,1.03,0.68,0.21,2000,6.9
1.0,1.95,2.05,1.13,0.66,0.22,2000,6.9
1.05,1.95,2.15,1.24,0.65,0.23,2000,6.9
1.1,1.95,2.25,1.35,0.63,0.24,2000,6.9
1.15,1.95,2.35,1.47,0.61,0.25,2000,6.9
1.2,1.95,2.44,1.59,0.59,0.26,2000,6.9
1.25,1.95,2.54,1.72,0.58,0.27,2000,6.9
1.3,1.95,2.64,1.85,0.56,0.28,2000,6.9
1.35,1.95,2.74,1.98,0.54,0.29,2000,6.9
1.4,1.95,2.83,2.13,0.53,0.3,2000,6.9
1.45,1.95,2.93,2.27,0.51,0.31,2000,6.9
1.5,1.95,3.03,2.42,0.49,0.32,2000,6.9
1.55,1.95,3.13,2.58,0.48,0.33,2000,6.9
1.6,1.95,3.22,2.74,0.46,0.34,2000,6.9
1.65,1.95,3.32,2.91,0.44,0.35,2000,6.9
1.7,1.95,3.42,3.08,0.43,0.36,2000,6.9
1.75,1.95,3.51,3.25,0.41,0.38,2000,6.9
1.8,1.95,3.61,3.43,0.39,0.39,2000,6.9
1.85,1.95,3.71,3.62,0.38,0.4,2000,6.9
1.9,1.94,3.81,3.81,0.36,0.41,2000,6.9
1.95,1.94,3.9,4.01,0.34,0.42,2000,6.9
2.0,1.94,4.0,4.21,0.33,0.43,2000,6.9
2.05,1.94,4.1,4.41,0.31,0.44,2000,6.9
2.1,1.94,4.2,4.62,0.29,0.45,2000,6.9
2.15,1.94,4.29,4.83,0.28,0.46,2000,6.9
2.2,1.94,4.39,5.05,0.26,0.47,2000,6.9
2.25,1.94,4.49,5.28,0.24,0.48,2000,6.9
2.3,1.94,4.58,5.51,0.23,0.49,2000,6.9
2.35,1.94,4.68,5.74,0.21,0.5,2000,6.9
2.4,1.94,4.78,5.98,0.19,0.51,2000,6.9
