Time Step,Kart Accel,Vehicle Speed,Total Distance,Clutch Slip,BSFC
0,1.37,0.34,0.09,1.0,0.05
0.25,1.37,0.69,0.26,0.96,0.1
0.5,1.37,1.03,0.52,0.92,0.16
0.75,1.37,1.37,0.86,0.88,0.21
1.0,1.37,1.72,1.29,0.83,0.26
1.25,1.37,2.06,1.8,0.79,0.31
1.5,1.37,2.4,2.4,0.75,0.36
1.75,1.37,2.75,3.09,0.71,0.42
2.0,1.37,3.09,3.86,0.67,0.47
2.25,1.37,3.43,4.72,0.63,0.52
2.5,1.36,3.77,5.66,0.58,0.57
2.75,1.36,4.11,6.69,0.54,0.63
3.0,1.36,4.45,7.8,0.5,0.68
3.25,1.36,4.79,9.0,0.46,0.73
3.5,1.35,5.13,10.28,0.42,0.78
3.75,1.35,5.47,11.65,0.38,0.83
4.0,1.35,5.8,13.1,0.34,0.89
4.25,1.35,6.14,14.63,0.3,0.94
4.5,1.34,6.48,16.25,0.26,0.99
4.75,1.34,6.81,17.96,0.22,1.04
5.0,1.33,7.14,19.74,0.18,1.09
5.25,1.33,7.48,21.61,0.14,1.15
5.5,1.33,7.81,23.56,0.1,1.2
5.75,1.32,8.14,25.6,0.05,1.25
6.0,1.32,8.47,27.71,0.01,1.3
6.25,1.31,8.8,29.91,-0.03,1.35
6.5,1.31,9.12,32.19,0.0,1.4
6.75,1.3,9.45,34.56,0.0,1.45
7.0,1.3,9.77,37.0,0.0,1.5
7.25,1.29,10.1,39.52,0.0,1.54
7.5,1.29,10.42,42.13,0.0,1.59
7.75,1.28,10.74,44.81,0.0,1.63
8.0,1.28,11.06,47.58,0.0,1.67
8.25,1.27,11.37,50.42,0.0,1.7
8.5,1.26,11.69,53.34,0.0,1.75
8.75,1.26,12.01,56.35,0.0,1.8
9.0,1.25,12.32,59.42,0.0,1.85
9.25,1.24,12.63,62.58,0.0,1.9
9.5,1.24,12.94,65.82,0.0,1.96
9.75,1.23,13.25,69.13,0.0,2.02
10.0,1.22,13.55,72.52,0.0,2.09
10.25,1.22,13.86,75.98,0.0,2.15
10.5,1.21,14.16,79.52,0.0,2.23
10.75,1.2,14.46,83.13,0.0,2.3
11.0,1.2,14.76,86.82,0.0,2.39
11.25,1.19,15.05,90.59,0.0,2.48
11.5,1.18,15.35,94.43,0.0,2.48
11.75,1.17,15.64,98.34,0.0,2.48
12.0,1.16,15.93,102.32,0.0,2.48
