Time Step,Kart Accel,Vehicle Speed,Total Distance,Clutch Slip
0.0,1.36,0.68,0.34,1.0
0.5,1.36,1.36,1.02,0.92
1.0,1.36,2.03,2.04,0.84
1.5,1.35,2.71,3.39,0.76
2.0,1.35,3.39,5.08,0.68
2.5,1.35,4.06,7.12,0.6
3.0,1.34,4.73,9.48,0.52
3.5,1.34,5.4,12.18,0.44
4.0,1.33,6.07,15.22,0.36
4.5,1.33,6.73,18.58,0.28
5.0,1.32,7.39,22.28,0.2
5.5,1.31,8.04,26.3,0.12
6.0,1.3,8.7,30.65,0.04
6.5,1.29,9.34,35.32,-0.04
7.0,1.28,9.98,40.31,-0.11
7.5,1.27,10.62,45.62,-0.19
8.0,1.26,11.25,51.24,-0.27
8.5,1.25,11.87,57.18,-0.34
9.0,1.24,12.49,63.43,-0.42
9.5,1.22,13.1,69.98,-0.49
10.0,1.21,13.71,76.83,-0.56
10.5,1.2,14.31,83.99,-0.64
11.0,1.18,14.9,91.43,-0.71
11.5,1.17,15.48,99.17,-0.78
12.0,1.15,16.06,107.2,-0.85
12.5,1.14,16.62,115.52,-0.92
13.0,1.12,17.19,124.11,-0.98
13.5,1.1,17.74,132.98,-1.05
14.0,1.09,18.28,142.12,-1.12
14.5,1.07,18.82,151.53,-1.18
15.0,1.05,19.34,161.2,-1.25
15.5,1.04,19.86,171.13,-1.31
16.0,1.02,20.37,181.31,-1.37
16.5,1.0,20.87,191.75,-1.43
17.0,0.98,21.36,202.43,-1.49
17.5,0.97,21.85,213.35,-1.55
18.0,0.95,22.32,224.51,-1.61
18.5,0.93,22.79,235.91,-1.66
19.0,0.91,23.24,247.53,-1.72
19.5,0.89,23.69,259.37,-1.77
20.0,0.88,24.13,271.43,-1.83
20.5,0.86,24.56,283.71,-1.88
21.0,0.84,24.98,296.2,-1.93
21.5,0.82,25.39,308.89,-1.98
22.0,0.8,25.79,321.79,-2.03
22.5,0.79,26.18,334.88,-2.08
23.0,0.77,26.57,348.16,-2.12
23.5,0.75,26.94,361.63,-2.17
24.0,0.73,27.31,375.29,-2.21
24.5,0.72,27.67,389.12,-2.26
25.0,0.7,28.02,403.13,-2.3
25.5,0.68,28.36,417.31,-2.34
26.0,0.67,28.7,431.66,-2.38
26.5,0.65,29.02,446.17,-2.42
27.0,0.64,29.34,460.84,-2.46
27.5,0.62,29.65,475.67,-2.5
28.0,0.6,29.95,490.64,-2.54
28.5,0.59,30.24,505.76,-2.57
29.0,0.57,30.53,521.03,-2.61
29.5,0.56,30.81,536.43,-2.64
30.0,0.54,31.08,551.97,-2.68
30.5,0.53,31.35,567.65,-2.71
31.0,0.51,31.6,583.45,-2.74
31.5,0.5,31.85,599.38,-2.77
32.0,0.49,32.1,615.42,-2.8
32.5,0.47,32.33,631.59,-2.83
33.0,0.46,32.56,647.87,-2.86
33.5,0.45,32.79,664.27,-2.89
34.0,0.44,33.01,680.77,-2.91
34.5,0.42,33.22,697.38,-2.94
35.0,0.41,33.42,714.09,-2.96
35.5,0.4,33.62,730.9,-2.99
36.0,0.39,33.82,747.81,-3.01
36.5,0.38,34.0,764.81,-3.03
37.0,0.37,34.19,781.91,-3.06
37.5,0.36,34.37,799.09,-3.08
38.0,0.34,34.54,816.36,-3.1
38.5,0.33,34.7,833.71,-3.12
39.0,0.32,34.87,851.14,-3.14
39.5,0.31,35.02,868.66,-3.16
40.0,0.31,35.18,886.24,-3.18
40.5,0.3,35.33,903.91,-3.2
41.0,0.29,35.47,921.64,-3.21
41.5,0.28,35.61,939.44,-3.23
42.0,0.27,35.74,957.32,-3.25
42.5,0.26,35.87,975.25,-3.26
43.0,0.25,36.0,993.25,-3.28
43.5,0.25,36.12,1011.32,-3.3
44.0,0.24,36.24,1029.44,-3.31
44.5,0.23,36.36,1047.62,-3.32
